País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Guiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,2.5427,1.5256,4.1955,5.9754,8.3911,9.4082,11.8238,14.3665,15.8921,17.6721,19.452,19.8334,21.7405,26.1903,31.1486,36.107,39.1583,43.0995,50.3463,63.1872,76.5366,90.1403
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0614,0.1315,0.2192,0.3508,0.4999,0.6665,0.8858,1.8329,4.6744,10.296,19.522,32.1157,39.8771,46.6914,52.4007,56.4085,58.9957,62.2669,64.3717,65.8714,67.0816,69.2566
Santa Sé,0.0,0.0,0.0,0.0,0.0,0.0,124.8439,124.8439,499.3758,749.0637,873.9076,998.7516,1123.5955,1248.4395,1373.2834,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273,1498.1273
Honduras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0808,0.3029,1.4236,3.0794,4.1092,4.9876,7.0876,12.8223,21.2023,29.8346,44.4339,55.8023,70.0179,97.49,140.7729,197.4637,256.729,293.8632,356.8541,408.4968,447.2565,488.6918,514.8614
Hungria,0.0,0.0,0.0,0.0,0.0,0.0,0.0932,0.5176,1.9357,5.093,8.4572,15.6516,21.7176,27.4214,31.7276,34.2948,36.8103,39.0358,40.5886,41.5823,42.2034,42.514,43.0109,43.5284,44.0771,44.9984,46.1267,47.1308,49.1286,51.199
Islândia,0.0,0.0,0.0,0.0,0.0,3.2235,20.2202,64.4702,189.894,332.6076,464.7714,504.0396,521.0363,526.0181,527.1903,527.7764,528.0694,528.6555,529.2416,529.5347,530.9999,531.879,534.5165,537.1539,537.74,538.9122,544.187,562.0628,576.7151,590.1953
Índia,0.0,0.0002,0.0002,0.0002,0.0002,0.0004,0.0041,0.0103,0.0388,0.1012,0.3849,0.8324,1.4551,2.2698,3.5797,5.3835,7.7156,10.927,15.0138,20.0105,25.6568,33.0566,42.426,53.7982,67.839,86.4547,110.9902,138.2788,168.8138,195.8458
Indonésia,0.0,0.0,0.0,0.0,0.0,0.0007,0.0099,0.0629,0.2508,0.5586,1.001,1.7691,2.6085,3.4772,4.4131,5.3922,6.7621,8.4691,10.0719,12.0926,14.7702,17.5107,20.6143,24.2122,28.7259,32.856,37.3098,42.0644,47.0804,51.6848
Irã,0.0,0.0,0.0,0.0,0.1131,2.7812,9.5746,19.2504,29.5394,53.1056,74.517,89.1468,100.9632,110.2283,119.0219,131.8765,148.3494,166.0985,187.5896,209.4545,229.1133,249.9853,271.0489,292.5103,312.1369,331.9648,352.7356,374.7767,394.3057,411.2845
Iraque,0.0,0.0,0.0,0.0,0.0025,0.0796,0.1765,0.3829,0.7856,1.7254,2.7895,3.4806,3.9828,4.7933,6.0439,7.2422,8.9776,12.053,18.3653,35.4727,56.4361,85.7779,122.0934,160.8578,203.2619,241.5539,286.7351,334.9419,390.3164,447.8415
